# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       40.262    19310.867
       2.001      293.800      746.938    21392.090
       4.003      293.700     1374.734    21392.090
       6.005      104.400     1847.258    21392.090
       8.007      103.900     2070.523    21392.090
      10.010      104.400     2374.727    21392.090
      12.012      111.900     3025.617    21392.090
      14.014      200.800     3039.188    21392.090
      16.016      106.400     3021.629    21392.090
      18.018      107.400     3022.133    21392.090
      20.021      103.400     3017.098    21392.090
      22.021      100.500     3017.098    21392.090
      24.023      103.400     3017.180    21392.090
      26.026      103.400     3017.180    21392.090
      28.028      102.900     3017.180    21392.090
      30.029      103.400     3017.180    21392.090
      32.031      103.900     3017.180    21392.090
      34.034      104.400     3017.180    21392.090
      36.036      121.400     3023.316    21392.090
      38.037      135.900     3039.020    21392.090
      40.039      100.900     3039.504    21392.090
      42.041      101.400     3028.039    21392.090
      44.043      100.900     3028.039    21392.090
      46.045      101.400     3028.039    21392.090
      48.047       99.900     3028.039    21392.090
      50.049      100.900     3028.039    21392.090
      52.051      100.400     3028.488    21392.090
      54.053      100.400     3028.488    21392.090
      56.055      101.400     3028.641    21392.090
      58.058      101.400     3029.074    21392.090
      60.060      100.900     3029.258    21392.090
      62.062      101.400     3029.258    21392.090
      64.064       99.900     3029.258    21392.090
      66.067      101.400     3029.258    21392.090
      68.069      100.900     3029.477    21392.090
      70.071      101.400     3029.477    21392.090
      72.073      100.900     3029.477    21392.090
      74.075      100.400     3029.477    21392.090
      76.077      100.900     3029.477    21392.090
      78.079      100.900     3029.477    21392.090
      80.082      101.400     3029.477    21392.090
      82.084      168.800     3074.871    21392.090
      84.086      117.900     3075.051    21392.090
      86.088       99.900     3064.211    21392.090
      88.090       99.900     3064.211    21392.090
      90.093       99.900     3064.211    21392.090
      92.095      100.400     3064.211    21392.090
      94.097      100.900     3064.273    21392.090
      96.099       99.900     3064.273    21392.090
      98.102       99.900     3064.273    21392.090
     100.104      100.400     3064.273    21392.090
     102.106      100.400     3064.273    21392.090
     104.108       99.900     3064.273    21392.090
     106.110      104.900     3064.414    21392.090
     108.113       99.900     3064.414    21392.090
     110.115      100.400     3064.414    21392.090
     112.117       99.900     3064.414    21392.090
     114.119       99.900     3064.414    21392.090
     116.122      100.400     3064.414    21392.090
     118.124      100.400     3064.414    21392.090
     120.126       99.900     3064.414    21392.090
     122.128       99.900     3064.414    21392.090
     124.129      100.500     3064.414    21392.090
     126.131      100.400     3064.414    21392.090
     128.134       99.900     3064.414    21392.090
     130.134      100.000     3064.414    21392.090
     132.137      100.400     3064.414    21392.090
     134.139       99.900     3064.414    21392.090
     136.141      100.400     3064.414    21392.090
     138.143       99.900     3064.414    21392.090
     140.145       99.900     3064.414    21392.090
     142.148       99.900     3064.414    21392.090
     144.150      100.400     3064.414    21392.090
     146.152       99.900     3064.414    21392.090
     148.154       99.900     3064.414    21392.090
     150.157       99.900     3064.414    21392.090
     152.159      100.400     3064.414    21392.090
     154.161       99.900     3064.414    21392.090
     156.163       99.900     3064.414    21392.090
     158.165      100.400     3064.414    21392.090
     160.168       99.900     3064.414    21392.090
     162.170      100.400     3064.414    21392.090
