# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       39.539    19310.867
       2.002      283.700      684.199    21456.090
       4.005      278.200     1382.934    21456.090
       6.006       99.900     2415.500    21456.090
       8.007      108.900     2971.754    21456.090
      10.009      182.300     2982.402    21456.090
      12.011      108.400     2983.059    21456.090
      14.013      102.400     2983.059    21456.090
      16.015      100.400     2983.191    21456.090
      18.018      148.800     2999.754    21456.090
      20.020      120.900     2995.113    21456.090
      22.022      101.400     2995.215    21456.090
      24.024      100.900     2995.254    21456.090
      26.027      102.900     2995.395    21456.090
      28.029      104.400     2995.395    21456.090
      30.031       99.900     2995.395    21456.090
      32.033       99.900     2995.395    21456.090
      34.035      100.400     2995.395    21456.090
      36.037      100.400     2995.395    21456.090
      38.039      100.400     2995.395    21456.090
      40.041       99.900     2995.395    21456.090
      42.043      100.400     2995.395    21456.090
      44.045       99.900     2995.395    21456.090
      46.047       99.900     2995.395    21456.090
      48.050       99.900     2995.395    21456.090
      50.052      100.400     2995.395    21456.090
      52.054       99.900     2995.395    21456.090
      54.056       99.900     2995.395    21456.090
      56.058       99.900     2995.395    21456.090
      58.059      100.500     2995.395    21456.090
      60.061       99.900     2995.395    21456.090
      62.063      100.400     2995.395    21456.090
      64.065       99.900     2995.395    21456.090
      66.067      100.400     2995.477    21456.090
      68.070      104.900     2995.719    21456.090
      70.072       99.900     2995.719    21456.090
      72.074       99.900     2995.719    21456.090
      74.076      100.900     2995.719    21456.090
      76.079       99.900     2995.719    21456.090
      78.079      100.500     2995.719    21456.090
      80.081       99.900     2995.719    21456.090
      82.083      100.400     2995.719    21456.090
      84.086      101.900     2995.719    21456.090
      86.088       99.900     2995.719    21456.090
      88.090       99.900     2995.719    21456.090
      90.092      100.400     2995.719    21456.090
      92.094       99.900     2995.719    21456.090
      94.097       99.900     2995.719    21456.090
      96.099      100.400     2995.719    21456.090
      98.101       99.900     2995.719    21456.090
     100.103      100.400     2995.719    21456.090
     102.106       99.900     2995.719    21456.090
     104.108       99.900     2995.719    21456.090
     106.110       99.900     2995.719    21456.090
     108.111      100.400     2995.719    21456.090
     110.113       99.900     2995.719    21456.090
     112.115       99.900     2995.719    21456.090
     114.118      100.400     2995.719    21456.090
     116.120       99.900     2995.719    21456.090
     118.122       99.900     2995.719    21456.090
     120.124      100.400     2995.719    21456.090
     122.126       99.900     2995.789    21456.090
     124.129      100.400     2995.789    21456.090
     126.131      100.900     2995.789    21456.090
     128.133       99.900     2996.016    21456.090
     130.135      100.400     2996.016    21456.090
     132.138       99.900     2996.016    21456.090
     134.140      100.400     2996.016    21456.090
     136.142      121.400     3091.148    21456.090
     138.144       99.900     3091.148    21456.090
     140.147       99.900     3091.148    21456.090
     142.149      100.400     3091.148    21456.090
     144.151       99.900     3091.148    21456.090
     146.153       99.900     3091.148    21456.090
     148.155       99.900     3091.148    21456.090
     150.157       99.900     3091.148    21456.090
     152.159      100.400     3091.148    21456.090
     154.162       99.900     3091.148    21456.090
     156.164       99.900     3091.148    21456.090
     158.166      100.400     3091.148    21456.090
     160.167      100.000     3091.148    21456.090
     162.169       99.900     3091.148    21456.090
     164.171      100.400     3091.148    21456.090
     166.173       99.900     3091.148    21456.090
     168.175       99.900     3091.148    21456.090
     170.177      100.400     3091.148    21456.090
     172.179       99.900     3091.148    21456.090
     174.181       99.900     3091.148    21456.090
     176.183      100.400     3091.148    21456.090
     178.185       99.900     3091.148    21456.090
     180.187      100.400     3091.148    21456.090
     182.190       99.900     3091.148    21456.090
     184.192      119.900     3091.582    21456.090
     186.194       99.900     3091.582    21456.090
     188.196      100.400     3091.582    21456.090
     190.199       99.900     3091.582    21456.090
     192.201      100.400     3091.582    21456.090
     194.203      106.900     3091.641    21456.090
     196.205       99.900     3091.641    21456.090
     198.207       99.900     3091.641    21456.090
     200.210       99.900     3091.641    21456.090
     202.212      100.400     3091.641    21456.090
     204.214       99.900     3091.641    21456.090
     206.216       99.900     3091.641    21456.090
     208.219      100.400     3091.641    21456.090
     210.221       99.900     3091.641    21456.090
     212.223      100.400     3091.641    21456.090
     214.225       99.900     3091.641    21456.090
     216.227       99.900     3091.641    21456.090
     218.230      153.300     3091.848    21456.090
     220.232      155.800     3092.105    21456.090
